,Question,Sub_Question,location,counts
210,I am satisfied with the following.,Overall cleanliness of classrooms in the Mudd building,210,"{4: 590, 5: 384, 3: 184, 2: 53, 'Not Applicable': 45, 1: 15}"
211,,Department lounge,False,"{4: 419, 5: 264, 3: 252, 'Not Applicable': 157, 2: 97, 1: 82}"
212,,Cleanliness of laboratory and office space,False,"{4: 467, 5: 328, 3: 216, 'Not Applicable': 196, 2: 48, 1: 16}"
213,,Coverage of wireless internet in Mudd and CEPSR,False,"{4: 564, 5: 403, 3: 188, 'Not Applicable': 68, 2: 35, 1: 13}"
214,,Speed of wireless internet in Mudd and CEPSR,False,"{4: 553, 5: 403, 3: 185, 'Not Applicable': 69, 2: 46, 1: 15}"
215,,Speed of wired internet in Mudd and CEPSR,False,"{4: 458, 5: 321, 'Not Applicable': 240, 3: 220, 2: 23, 1: 9}"
216,,Availability of engineering specific software that can be installed on your personal computer,False,"{4: 399, 5: 269, 3: 267, 'Not Applicable': 154, 2: 123, 1: 59}"
217,,Availability of engineering specific software in libraries/computer labs,False,"{4: 376, 3: 313, 'Not Applicable': 262, 5: 245, 2: 56, 1: 19}"
218,,Quality and maintenance of equipment in labs,False,"{4: 397, 'Not Applicable': 291, 3: 260, 5: 252, 2: 53, 1: 18}"
219,,Availability of advanced computing resources,False,"{4: 370, 3: 309, 'Not Applicable': 251, 5: 247, 2: 70, 1: 24}"
220,,Quality of technical support provided by CUIT,False,"{4: 450, 3: 274, 5: 263, 'Not Applicable': 207, 2: 66, 1: 11}"
221,,Availability of group study space,False,"{4: 420, 5: 248, 3: 242, 2: 179, 'Not Applicable': 105, 1: 77}"
222,,Availability of reservable student group space,False,"{4: 379, 3: 263, 5: 224, 'Not Applicable': 165, 2: 160, 1: 80}"
223,,Columbia Makerspace,False,"{'Not Applicable': 413, 3: 307, 4: 301, 5: 211, 2: 21, 1: 18}"
224,,Carleton Commons,False,"{4: 449, 3: 273, 5: 240, 'Not Applicable': 212, 2: 81, 1: 16}"
225,,University Gym,False,"{4: 293, 3: 229, 5: 213, 'Not Applicable': 190, 2: 177, 1: 169}"
226,,Computer Lab at the Engineering Terrace 251/252,False,"{'Not Applicable': 404, 3: 326, 4: 292, 5: 204, 2: 29, 1: 16}"
227,,Elevators in Mudd building,False,"{4: 503, 5: 277, 3: 199, 2: 159, 1: 84, 'Not Applicable': 49}"
228,,Accessibility of Mudd on the weekends,False,"{4: 457, 5: 341, 3: 228, 'Not Applicable': 139, 2: 73, 1: 33}"
229,,Availability of transportation to the CUIMC campus on the weekends,False,"{'Not Applicable': 396, 3: 311, 4: 251, 5: 200, 2: 64, 1: 49}"
230,Are you satisfied with the gender-neutral bathrooms in Mudd and Engineering Terrace?,Response,230,"{'I was unaware of the gender-neutral bathrooms in Mudd': 609, 'Yes': 593, 'No': 69}"
231,I am satisfied with the availability of safer-sex protection products on campus.,Response,231,"{'I was unaware of this resource': 647, 4: 272, 3: 159, 5: 130, 2: 39, 1: 24}"
232,I am satisfied with the following with respect to Blue Java Café in Carleton Commons.,Availability of healthy food options,232,"{4: 366, 3: 267, 5: 140, 2: 94, 1: 46}"
233,,Hours of operation,False,"{4: 352, 3: 237, 2: 149, 5: 140, 1: 44}"
234,,"Availability of food for dietary restrictions (kosher, vegan, gluten-free, etc.)",False,"{4: 334, 3: 253, 5: 127, 2: 84, 1: 28}"
235,,Friendliness of staff,False,"{4: 407, 5: 277, 3: 218, 2: 32, 1: 13}"
236,,Cost,False,"{3: 261, 4: 235, 2: 229, 1: 127, 5: 105}"
237,,Cleanliness,False,"{4: 498, 5: 241, 3: 185, 2: 12, 1: 9}"
238,,Variety of food options,False,"{4: 322, 3: 277, 2: 155, 5: 126, 1: 51}"
239,I am satisfied with the weekday after-hours and weekend swipe access for the 1st floor Mudd entrance.,Response,239,"{4: 495, 3: 410, 5: 151, 1: 114, 2: 101}"
240,To what extent have you used the Mudd 1st floor after hour swipe access on a weekly basis?,Saturdays,240,"{'0-2 times': 922, '2-5 times': 205, '5-10 times': 71, '10+ times': 60}"
241,,Sundays,False,"{'0-2 times': 961, '2-5 times': 173, '10+ times': 53, '5-10 times': 53}"
242,,Weekday evenings,False,"{'0-2 times': 763, '2-5 times': 276, '5-10 times': 119, '10+ times': 91}"
243,How many times in a week do you use the University gym? Please select the closest applicable answer.,Response,243,"{'0-1': 648, '2-Jan': 211, '4-Mar': 144, 'Not applicable': 143, 'Greater than 4': 125}"
244,Please enter any additional feedback regarding facilities.,Open-Ended Response,244,"{'THE MUDD BUILDING carleton commons NEEDS A MICROWAVE!!!!!! WE ARE HUNGRY AF. also, do you know how many students stay in carleton studying AFTER 8 PM????? please do not take away our swipe access. we are just going to keep the door open with a chair, which is even MORE DANGEROUS. so please, do the proper thing and just give us 24 hour swipe access. ': 1, 'The gender neutral bathroom on the first floor of mudd is filthy, and men using it do not shut the door, which feels uncomfortable for female students and staff. A lot of classrooms have broken lights in Mudd, and I wish the 1st floor 120th street doors opened at 6 or 7am. ': 1, 'Mudd first floor bathrooms are filthy. Toilet seats are always covered in drops. Toilets are consistently not flushed. It frequently smells bad. Twice my friend saw people wearing lab coats in the bathroom. Multiple times men have not shut their stall door while using the toilet.     CUIT will not help anyone from SEAS. Yet, there is no easy way to get hold of engineering IT. There should be a request form like there is with CUIT. Once we had an urgent IT issue and CUIT refused to help, but even after persistently calling and email engineering IT, no one responded. It took weeks to resolve. ': 1, 'The gym is way to small for such as big university, that is very sad and students are always waiting to use machines': 1, 'More chairs/desks in lounge please!': 1, 'The gym is terrible. I wanted Uris to be converted into a gym.     The transportation to CUIMC could be improved over the weekends.': 1, 'The gym is in a deplorable condition. I am demotivated to workout every time i enter the gym. There is no space, just a corridor.': 1, 'The University gym is pathetic.  Such a small gym for 30k+ students makes it a joke.  ': 1, 'Request to open the Mudd 1st floor entrance for longer': 1, 'The gym space is limited': 1, 'The blue gym is overcrowded. When asked to get access to Levien gym the excuses of the staff was that they were following covid protocols (even though not one sports team practices with masks, and there would sometimes be 40 students wanted to use one court thus resulting in overcrowding). I do believe covid protocols is still the excuse, even though almost covid precautions have been dropped.    I am unaware of many of the resources from Q49 (again, I believe due to failure of Columbia to give spring students any kind of campus orientation)': 1, 'for Dodge gym, an indication of how crowded the gym is at time of day / day of week would be helpful for me to decide whether to go or wait.': 1, 'NO': 1, 'The First Floor of the Mud entrance should be open until late at night. Also the elevators should be separated on command. ': 1, 'The weight rooms in the gym are small and always packed. Gluten free Sandwich at Blue Java Cafe is $11 but not worth $11.': 1, 'If we could have more standing desk, that would be much better.': 1, ""I can believe that the gym of an IVY league could be too small. You need to increase the sports areas, the size of the gym and the machines that are on it. Besides, there are too few sports to practice. You don't have CrossFit, tennis, paddle, etc."": 1, 'Please allow for scanning access 24/7 through all doors of Mudd': 1, 'Gym tends to be very crowded all the time ': 1, 'Dodge is a pretty sad gym': 1, 'The gym equipment should be updated': 1, ""It is confusing to me which gendered bathroom is on each floor (men vs women) sometimes.   I have fewer complaints about Engineering buildings in this regard, but some university buildings have poor and few women's bathrooms.  Some university buildings have poor elevator availability.  Perhaps there is a safety reason, but some doors are very heavy and difficult to get pass carrying things (e.g. Carlton Commons-Blue Java Cafe door in Mudd).  This is by no means a hazard, but some lecture rooms are very cold (451 Comp Sci) while others are very warm (NWC 5th floor lecture hall).   I would appreciate having lockers if possible."": 1, ""Re. Q 52: I don't feel like going at all because it's crowded all the time with equipment not available or long waits."": 1, ""Given how important physical exercise is to mental health and the relative lack of space in Dodge fitness center compared to the size of the student body served, it would be a significant improvement in students' campus life and be a boon to campus mental health to have Dodge Fitness center's Monday-Thursday hours (6AM-12AM) made the daily hours instead of the shorter schedules currently implemented Friday-Sunday. In particular, having the hours extended on Friday and Saturday to match the Monday-Thursday hours would be a significant improvement."": 1, 'Lab floors should be cleaned by cleaning staff at least weekly, nobody ever comes in and cleans the floors. Biomedical engineering department has no lounge at all and we should for grad students to be able to do work because some labs do not have dedicated office space.  Swipe access to mudd hall 1st floor should be possible at all times, we still have to swipe in so what is the point of not having that option available at all times.': 1, 'The dodge fitness center could be cleaner / more cardio machines available - usually difficult to get a spot during commonly used hours': 1, 'the gym could use more equipment in the weight lifting area. The gym should also always have an area available for students to play recreational basketball which is not always the case despite the large demand for it. The Dodge calendars are also often not up to date and wrong and unhelpful which can really mess up scheduling around exercise. ': 1, 'Please note that the above answers reflect pre-pandemic behavior. ': 1, '-': 1, 'The gym is gross and too small. The ability to download plotting software like Origin would be super helpful.': 1, 'Dodge Gym pales in comparison to the facilities at my previous institution (UT-Austin).': 1, ""Dodge gym is literal aids and has been for as long as I've been here.  I have to swipe my id card 4 times to get to my desk in northwest corner.  Why would they add swipe access to every single damn elevator."": 1, '- Provide engineering software program access for personal computers or if not possible, it would be very helpful to provide remote access to campus computers  - Increased access to COVID tests (even if at home)  - More hours for Blue Java Café and Mudd 1st floor entrance   - Updated gym facilities   - Would be great to have access to free subscriptions (ex. NYT, news outlets)   ': 1, 'the floor of the blue gym should be replaced, the hallow floor tiles make people injured': 1, 'Gym is very bad considering ours is an ivy league in the city of New York. There is now floor area in the tri-level fitness center. There are only two benches for chest press and only two shelves/platforms for squats. The floor has also gotten dirty.': 1, ""Facilities take a long time to respond to tickets. The eating space on my floor in CEPSR is always dirty and not well looked after. The microwaves don't work and neither do most of the electrical sockets. It's honestly a gross space that I would be surprised anyone would use as an actual break or lunch room. I would hope that Columbia could make it's public spaces better."": 1, 'COMS4232 is completely trash. They hired a TA who cant even understand basic maths.': 1, 'We’d like some place to have our lunch and dinner as the tents have been removed.': 1, 'I hope the intercampus shuttle can include 116 stop during afternoon hour. Since most shuttles operating in afternoon just stop at 120th st': 1, 'Grad students should have summer access to Dodge without having to enroll in classes': 1, ""The gym is terrible and a joke to all students. We all know it, you don't need a survey to realize it, just go have a look."": 1, 'The gym equipments break quickly or are old, the space is small. They should join with a NYC local gym to accommodate more students or build another gym for students.': 1, ""The gym is horrible. There aren't enough machines, its old and dirty, and it's simply way too small for the amount of students. It is also dark and depressing. Coming from my undergrad, which was a state school with probably half the budget of Columbia, I was shocked at the options for working out here. Not sure where all my $ goes, but it should definitely be going to creating a useable gym. This is the single most disappointing thing about my experience at Columbia."": 1, 'Gym is small and poorly maintained. Unavailability of free day-use lockers is also a weakness': 1, 'I wish the lockers were part of basic student membership': 1, 'Please get more microwaves everywhere for people who bring a lunch to campus and want to heat up their food!! Last semester it would rain and snow and I had to travel all around looking for microwaves (which I could only find in Uris cafeteria!) Why is there no microwave in Carleton Commons and Noco campus entry :(': 1, 'Have not used many facilities just yet': 1, 'The gym has to be improved considerably. The equipment is outdated and it is too crowded. The university needs to build another gym facility to cater for the students': 1, 'The ET 376/377 offices do not have waste/recycling bins and rarely have facilities cleaning. The heating is also extremely unstable. There is also a lack of kitchens and food safe space in Mudd and makes it extremely inconvenient or sustainable to eat in general without having to purchase food daily': 1, 'The gym is always crowded and the number of equipments are very limited. There should be an expansion project to handle this issue.': 1, 'The gym is adequate, though I was displeased with how long it takes for broken machines to be serviced.': 1, 'The gym needs more barbells. One 45lbs bar for EACH rack, platform and bench + 2 or 3 extra. The 15kg bars are good to have but they cannot be the default option for any station. The investment would be under $1500 and would improve the lives of gymgoers a lot.': 1, 'I have Saturday morning class at 9am in Mudd, and I cannot swipe into the building. If I, as a student, have a class on the weekend morning I should be able to swipe in with ease': 1, 'Gym could be a bit expanded in terms of equipment available to workout, the current ones are good but are limited and usually crowded over by people': 1, 'The gym has been the most disappointing aspect of my experience at Columbia. It is extremely small and cramped for the amount of students at the school and the amount of people who use it. Having more space and more racks would greatly improve the experience at the gym, as it is at times impossible to work out when it is busy.': 1, 'The Gym is often crowded to the point where I do not want to use the Gym facilities.': 1, 'Tried going to the gym a bunch of times at the beginning of the fall semester but 2/3 of it was closed for over a month so I just gave up and found an alternative': 1, 'Uris/Watson Library group study rooms are filthy.': 1, 'I mostly use the urgs and they put them in a terrible spot with very little room and right next to weightlifters who get in the way. I would personally prefer if they were back on the side of the basketball court but they should really at least go somewhere that can physically fit both of them so two people can row on the two urgs at the same time.': 1, 'gym is a bit run down': 1, 'The gym needs a renovation and expansion. It is nowhere near the size needed for such a large student population. It is crowded almost at all hours from open to close. ': 1, 'The Columbia Gym is embarrassing for an Ivy. Touring students usually laugh': 1, 'Gym is terrible': 1, ""The university gym needs massive improvement and expansion especially given how large the university is. The offices in the IEOR department also need improvement. For example, there is no outlet within 6 feet of my desk (which is extremely unreasonable).  The lack of windows is also a huge problem and is a large reason I don't use my workspace in the department. I understand these are hard things to fix but it leaves a lot to be desired with the facilities."": 1, ""- gym needs to restock weights and barbells  - Mudd needs a renovation  - what is the department lounge?  - bathrooms across the whole campus should be renovated  - I don't know that there are any software for free available at Columbia  - the gym is too small  - Carleton commons benches are breaking up"": 1, 'The Gym needs to be expanded and equipments are supposed to be repaired asap': 1, ""Alarms being turned off during after hours would be appreciated as I need to get to my car on the weekends and instead, I feel forced to walk around on the campus level.     The university gym weights feel scarce and sometimes, it feels like half of the weights are gone. Not sure what is going on. Also, better labels on the weights describing how much weight each dumbbell is because at the moment, it's hard to find the weight I need let alone trying to determine what weight is in front of me.    There is always almost one elevator that is out. Would it be possible to conduct work on the weekends or after hours not during the rush hours of the day?     The water fountains are constantly being turned off. I think it would be better if there was a schedule posted somewhere when these fountains are turned off and which ones are turned off. Currently, I run floor to floor trying to find a place to refill my water bottle. "": 1, 'The gym is awful. The track is weirdly hot in some areas and the showers are old. ': 1, 'License for Endnote, adobe illustrator    Gym has no basketball courts open and only for team practice even though no one is practicing. Essentially only the blue court is open and that is overly crowded and or has some other scheduled event. ': 1, 'The gym is really bad and there is no space to work out. ': 1, 'The University gym is dark/dingy, and frequently the machines are fully booked/in use, esp during peak hours. Highly unsatisfied with the availability, quality, and environment of the gym, especially since the facilities fee is automatically deducted from the PhD stipend, even though I do not use the facilities. Please improve/renovate the gym to be brighter and more space efficient (i.e. more equipment), or do not automatically charge students a facilities fee.': 1, 'The gym does not have sufficient space/equipment for the number of students, especially with COVID concerns. The fitness classes are also not free to grad students and are too expensive.': 1, 'establish gym in mudd if you can': 1, 'Gym extra activities must be free for students Pilates, aerobics, kick boxing etc. Café must have lower cost and more vegan food options': 1, ""Please extend more hours for the weekday after-hours and weekend swipe access. People have gotten into Mudd through tailgating and stolen computers and stuff during work hours, so the swipe access is really only limiting researchers from getting into Mudd and making it so that we have to walk very long paths to get into Mudd. Also the loud alarms that go off when people leave Mudd after hours is super annoying and doesn't help or prevent crime.    Gender neutral bathrooms should be cleaned more regularly. They are noticeably significantly dirtier with urine and feces everywhere around the toilets.    Also please sell bran muffins in Blue Java!!    Include composting bins on campus!!"": 1, 'The gym needs to provide more free weight space. I notice there is usually an abundance of unoccupied treadmills while the free weight and machines are usually full at certain hours. Maybe some treadmill space could be replaced with free weights or machines. Additionally, the overall look/aesthetic/feeling of the gym feels a bit drab. I wish there were slightly more mirrors. Add more color or something. It feels like a cave sometimes.': 1, 'Please expand access to Mudd. It was reduced during pandemic': 1, 'Dumbbells at the gym floors are unevenly distributed. The gym space is too small. ': 1, 'it was good  ': 1, 'I wish the PE hours were different, because they currently are at peak occupancy of the gym.': 1, 'I like the idea of gender neutral bathrooms and have seen them implemented successfully at my undergraduate institution, but the ones in Mudd seem to have routine plumbing issues and do not seem as clean as the other restrooms': 1, 'For the computer lab on the 2nd floor of Mudd, there is always a huge noise due to the machine working in the middle of the room. ': 1, 'I used to use the gym, however stopped after being stalked by another student. There is only dodge gym available to me, and a no contact directive from the school does not stop my stalker from being in the same room or space as me, so it became very uncomfortable to use the school gym. ': 1, 'I would use the university gym more frequently but it is the worst university gym I have ever been to. Please get newer equipment and update layout to make it more usable for students and members. ': 1, ""The Mudd 1st floor access hours make no sense. The time that the door is actually locked is inconsistent on a day-to-day basis. Moreover, it is impossible to know when the 120th street gate behind CEPSR is actually open, and it's an incredibly frustrating walk having to go back upstairs after realizing it's closed."": 1, 'Gym weights are never in place, paper towels are sometimes empty, and no free daily lockers is mind blowing to me. You already taking so much money from us, why charge for daily lockers. Finally the sauna is closed, waiting for that too open up again': 1, 'No other feedback': 1, 'Would appreciate being able to leave via 120th exit after hours, since this is the safest way home for many students. However, the 119th garage exit has been a great replacement (needs to be advertised)': 1, 'The alarm goes off on 1st floor Mudd when you try to exit the building after hours it should not do this. I should not have to walk around campus in order to exit when the closest exit to my home (with the least amount of walking late at night) is this exit. Exits should not be blocked off ever. ': 1, 'maybe do more cleaning for the library, sometimes the spaces are so dirty': 1, 'As a PhD student that lives in graduate student housing on Morningside Campus and commutes uptown to the CUIMC campus daily for research, I would strongly advocate for increased shuttle service during the weekends, as coverage on Saturday is extremely limited and completely not offered on Sunday. The lack of service during the weekends is in fact a safety concern given the increase in assaults at the 168th subway station in the past weeks and months.  If it is not possible to extend the shuttle bus service, I would strongly suggest an extension of the Via late night service to include 168th.': 1, 'Is there any gym beginner students group or where can I find it?': 1, 'The cafés are extremely expensive on campus, I am shocked that I have to pay $17 for a sandwich and $6 for a coffee on an academic campus. ': 1, 'NEED A BIGGER GYM': 1, 'Please expand Dodge': 1, 'Why are the Mudd toilets so dirty??    And why do the alarms go off at the Mudd level 1 exit on weekends?? I have to walk 10 min to the main campus entrance to leave.': 1, 'KEEP MUDD OPEN LATER!!!': 1, 'DNE': 1, ""Easily the worst GYM I have ever been in. It's pretty crazy how bad the gym is with regards to size / machines."": 1, 'Cleanliness has gotten much worse during/following the pandemic (as is reasonable). My office in the Data Science Institute has not been regularly cleaned since the pandemic, and facilities issues have been much slower to be fixed (e.g. lights broken, a broken fridge) than previously.': 1, 'More food options in Blue Java Café please': 1, 'Carleton Commons is need more place to seat , and the place need to be clean.': 1, ""The gym is a mess. It's too small to accommodate everyone, the machines are often broken, the weights are all over the place and difficult to find, and there's no music."": 1, '- very crowded needs more space; especially more dumbells, have to wait a lot, a congested space    - Basket Ball Court (Blue Gym) floors are shaky and the ball dribbles with the floor itself.    - There is a hole in the roof of squash court no. 1    - Swimming Pool requires (if not daily then more frequent) inspection, I almost find bandaids and other misc. gross stuff in Pool everyday': 1, 'The internet needs to be much much better currently it is very slow and hard to do work in the building. ': 1, 'I think more engineering-specific software should be available that can be installed on your personal computer. For those who do not live on campus, it can be difficult to make it to the computer lab in order to do homework that requires specific software that would otherwise be unavailable.': 1, 'I used to return to my apartment from my office quite late at night (2 AM or 3 AM) on weeknights. I never understood why we were not allowed to exit through the Mudd 1st floor doors late at night. With my apartment location, exiting at the Mudd 1st floor on the corner of 120th and Amsterdam would have saved me from having to walk between Broadway and Amsterdam late at night. It would be nice if a Public Safety officer could be stationed at the Mudd 1st floor entrance/exit (similar to the NWC entrance) so that the Mudd entrance could be used at any time. ': 1, 'The elevators are a problem at class change. It would be nice if Blue Java were open a little bit later on Friday afternoon.': 1, 'The gym is a shame for an Ivy league university. Old equipment, few machines, dirty and messy gym, poor sound isolation. ': 1, 'lab space cleanup need to be more frequent': 1, 'No more comments': 1, 'The gym is extremely small and outdated. My way smaller undergraduate university had 2 gyms, both bigger and nicer. The gym makes me unmotivated to workout ': 1, 'I would use the gym more if it was adeuate.': 1, 'Consider having only female hours at the gym.': 1, ""Need to build a bigger gym for the future cause there just aren't enough resources for these many students. It feels super crowded. "": 1, 'I used to go to gym 3 times a week and then I stopped going due to the construction on the first floor that took a while and everywhere was dusty and not clean': 1, ""It would be great if you could include some more professional level equipments in the gym as it's really hard sometimes to get some of the machines  even at the non-peak hours."": 1, '- Gym really needs a revamp. Not planned well, often many facilities (upper floor, mid-floor, sauna) left derelict with no accountability.': 1, 'The gym equipment is poorly maintained, and there are too few weights and machines': 1, 'This university has so much money and our gyms are so small. We are paying so much tuition to be crowded in unclean, small spaces.': 1, 'I know it is out of SEAS, but the gym is truly non-functional. Exercise is a key factor of my personal stress-management plan, but the Columbia gym is more of a stressor because it feels impossible to actually use the equipment or find floor space ': 1, 'Gym is horrible with no space to workout and extremly old equipment. I went once and never wanted to go again. ': 1, 'University gym NEEDS TO BE UPGRADED': 1, ""I stopped using the gym when I found out that after being short of breath from exercising it's basically impossible to breath with a mask on"": 1, ""Gym area doesn't have much ventilation."": 1, 'The university gym (dodge) extremely sucks. Always full of people. Rusted equipment. Lack of variety of equipment.': 1, 'The gym needs better ventilation! ': 1, 'Please re-start the Night shuttles. The Via availability is horrendous. The shuttles were really helpful.': 1, 'Gym could be more spacious and clean.': 1, 'more open gym times.   fix the mudd elevators for once please': 1, 'why does the mudd 1st floor entrance have an alarm? People just open the door and run anyway... Just have it be swipe in and swipe out at any time': 1, 'I am generally disappointed in the disparity between the facilities of Mudd and other new Columbia buildings': 1, ""My swipe never works on the 1st floor of Mudd - I always have to be let in. I go to an outside gym because the school's gym is always overcrowded and not convenient."": 1, 'Please leave Mudd doors open to swipe access all the time and remove card swiping in NWC elevators.': 1, 'The gym is old and small, and over-crowded before COVID. I wish there would be multiple gyms available.': 1, '1. The food should be provided at a reduced rate, with more vegan and vegetarian options available.    2. Given the growing importance of project management in our job, students should be provided with a free edition of MS Project.': 1, 'There were some facilities that I was unaware of. Popularizing them a bit more is helpful': 1, 'It would be better if the gym has more space for the equipments.': 1, 'No comments': 1, 'I think the Mud elevators need reprogramming, there slow and  the waiting time is slow.': 1, 'The gym is disgusting and pitiful for how much we pay in tuition. There should be an option to bring your own lock so I do not have to pay for a locker every single time I go. ': 1, 'I want to know about these unaware places well, I m still not known to so many things  ': 1, ""the gym is awfully undersized for the size of Columbia's student body.  it's honestly embarrassing for a university to have such a terrible gym."": 1, ""This gym is perhaps the worst gym in NYC, and it's a shame that students are forced to pay 60k for these kinds of facilities. Ask any student who frequents the gym to lift weights (not do cardio) about why the gym is so bad and they're sure to give you many reasons. Here are just a few:   1) Only two bench presses for the entire campus  2) Most dumbells are missing/broken/strewn around the gym  3) Only 2 cable crossover machines in the entire gym  4) No mirrors anywhere that would matter (in front of the squat rack)  5) No water fountains work    It's clear that whoever designed the gym has never been to one, and it's embarrassing.     My public undergrad university had much better gyms (plural) for 1/6 the price in tuition. Whenever friends have visited the campus I give them a tour of the gym to show them how bad it is, and to show that Columbia is the face of how corporate greed has infected education. "": 1, 'Can Mudd 1st floor sty open for longer time intervals ': 1, ""Dodge Gym needs to be reorganized and the weight racks need to be redone so that there's enough of each weight"": 1, 'Dodge Gym is overcrowded and quite decrepit. Columbia should subscribe and hand out more licenses regarding technological softwares': 1, 'Gym sucks, always crowded. To much places for sports, and not for weight-lifting': 1, 'No': 1, 'The gym is overcrowded': 1, 'Gym is the worst gym I’ve been to ': 1, 'The university gym needs to invest in more equipment. A lot of them are either missing or broken creating longer lines to use basic equipment (barbells, dumbbells, machines)': 1, ""The University gym is terrible. Doesn't feel clean, too crowded, old equipment. Not clear on what amenities/facilities are available. I recall we have to pay for lockers...why? I visited the locker room and pool once to check it out, it is gross."": 1, 'Dodge gym does not have enough weight-lifting equipment (needs more benches & squat racks)': 1, 'Increasing the operational time limit of Mudd gate (including on weekends) on 120th would be super helpful and safer, especially for the students residing at 120-125 streets.': 1, 'Perfect ': 1, ""I don't use the gym or Mudd 1st floor BECAUSE they are unsatisfactory. If the gym were better and the Mudd 1st floor had longer hours, I would be using them quite often."": 1, 'The gym could be improved a lot more in terms of ventilation and air flow. It would also be nice to have more rooms with floor space that are free to the public instead of for classes. Newer equipment would also be appreciated.': 1, 'Please notify us when the swimming pool would close in advance. ': 1, 'It would be nice if there was a microwave in Mudd or a department where we could heat up food such as in Carleton Commons': 1, 'Please make the Mudd first floor access 24/7 or at least disable the god-awful alarm sound that happens when someone on the inside opens it. It helps no one.': 1, 'I was unaware that many of the facilities listed above exist, and had I known I would likely have used them. As for the University Gym, it is my single largest complaint with the university - It is crowded, disorganized, and poorly equipped. An ability to use weight training and carido facilities is the single most important thing to me in regards to my physical and mental health. Dodge gym so poorly accomplishes this task that I choose to pay for another gym, and walk through a dangerous neighborhoods nearly every night to avoid using university facilities.': 1, ""I suggest the school extend the hour of swiping in the Mudd 1st floor, especially in the weekends. As a phd students, I don't really have weekends if I am working on projects. In the weekend, if I happen to work very late(which is not very uncommon), I have to go all the way to the NWC while I could just exit from Mudd 1st. If the NWC can swipe access 24/7, I don't see any reason Mudd shouldn't.  Besides, the lock of computer lab has been broken for years. If you want to add an alarm for the door in the evening, at least make sure the lock is actually functional. Anyone could just open it with a strong pull and set the alarming ringing for at least 1 min. This is really annoying."": 1, 'open more basketball court!': 1, 'Gym too old and crowded ': 1, ""Gym is extremely small and the atmosphere gets smelly and hectic very easily. It's a shame to waste so much space on hallways and locker rooms only to have a tiny gym for students to use."": 1, 'Students throw weights in the gym and shout a lot. I do not feel comfortable using the facility quite often. ': 1, 'The gym is always overcrowded': 1, 'The gym is tiny and always crowded. Hardly serves as a gym. Lab equipment and makerspace is always sparse, in use or broken.': 1, 'The gym is horrible. It sometimes feels like it is designed to discourage students from using it.': 1}"
245,The following services have been useful to me.,Medical services at Columbia,245,"{4: 428, 3: 226, 5: 217, 2: 75, 1: 49}"
246,,Go Ask Alice!,False,"{3: 318, 4: 159, 5: 67, 2: 61, 1: 45}"
247,,"Alice! organized workshops (Nutrition, Fitness, Sexual & Reproductive Health, Stress, Tobacco cessation etc)",False,"{3: 318, 4: 176, 5: 69, 2: 63, 1: 47}"
248,I feel physically safe on campus.,Response,248,"{4: 674, 5: 359, 3: 139, 2: 74, 1: 25}"
249,Have you ever used a service provided by Counseling and Psychological Services? (All answers are anonymous.),Response,249,"{'No': 1018, 'Yes': 253}"
250,Which of the following describes why you have not used a service provided by Counseling and Psychological Services?,Response,250,"{'I do not need them': 569, 'I am too busy': 217, 'I did not think the services would help me': 90, 'I did not know about them': 85, 'I was not aware of the confidentiality in the process': 34, 'I am too embarrassed': 25}"
251,Have you used the weekly Counseling and Psychological Services Mudd 530 Walk-in hours hosted by the GSA Office for SEAS students?,Response,251,"{'No': 149, 'Did not know about this': 71, 'Yes': 27, 'I wanted to but the times offered were not convenient': 9}"
252,"If needed, I would be likely to use the resources provided by the Counseling and Psychological services office again.",Response,252,"{4: 126, 5: 71, 3: 38, 2: 12, 1: 9}"
253,"If not likely, why?",Response,253,"{'I only needed counseling for a certain matter': 20, 'I did not find it helpful': 19, 'I found it difficult to set up appointments': 12, 'I decided to use external counseling services': 9}"
254,I am satisfied with the Columbia health insurance Plan.,Response,254,"{4: 378, 3: 300, 2: 228, 'Not Applicable': 162, 1: 123, 5: 66}"
255,Have you ever deferred needed dental work while at Columbia due to lack of dental insurance?,Response,255,"{'No': 498, 'Yes': 401, 'Not applicable': 372}"
